case_id,timestamp,activity,subject,object
59936,2024-10-01T04:38:55Z,delete PR branch,jakebailey,60083
59062,2024-06-28T10:16:54+00:00,create issue,wasabi315,`getTypeListId` crashes with `TypeError: Cannot read properties of undefined (reading 'id')`
59062,2024-06-30T17:11:31Z,commit changes,davide.tanca,6679bbed56ea70efe56d30cdf4a56f6e796262d4
59062,2024-06-30T17:13:03+00:00,create PR,gdavidetanca,59080
59062,2024-06-30T17:13:04Z,link PR to issue,gdavidetanca,59080
59062,2024-06-30T17:13:07Z,add label to PR,typescript-bot,For Uncommitted Bug
59062,2024-07-01T07:27:16Z,commit changes,Andarist,ca0295b04710c78ac1ce146e8f800064d98f02c0
59062,2024-07-01T07:27:50+00:00,create PR,Andarist,59089
59062,2024-07-01T07:27:51Z,link PR to issue,Andarist,59089
59062,2024-07-01T07:27:53Z,add label to PR,typescript-bot,For Uncommitted Bug
59062,2024-07-01T14:59:36Z,close PR,gdavidetanca,
59062,2024-07-01T23:13:49Z,review PR,andrewbranch,59089
59062,2024-07-01T23:14:02Z,add label to issue,andrewbranch,Bug
59062,2024-07-01T23:14:02Z,add label to issue,andrewbranch,Crash
59062,2024-07-01T23:14:35Z,request review for PR,andrewbranch,sandersn
59062,2024-07-01T23:14:46Z,request review for PR,andrewbranch,gabritto
59062,2024-07-02T21:33:29Z,review PR,DanielRosenwasser,59089
59062,2024-07-15T21:20:07Z,commit changes,gabritto,229855129d36246ccc8e67e06facb262d42b06dc
59062,2024-07-15T21:39:25Z,merge PR,gabritto,
59062,2024-07-15T21:39:25Z,close PR,gabritto,
59062,2024-07-15T21:39:26Z,close issue,gabritto,
59062,2024-07-15T22:01:49Z,delete PR branch,Andarist,59089
59704,2024-08-21T00:10:33+00:00,create issue,DanielRosenwasser,`lib.d.ts` Updates for TypeScript 5.7
59704,2024-08-21T00:10:41Z,add label to issue,DanielRosenwasser,Bug
59704,2024-08-21T00:10:41Z,add label to issue,DanielRosenwasser,Domain: lib.d.ts
59704,2024-08-21T20:27:38Z,assign user to issue,sandersn,sandersn
59704,2024-08-21T20:27:41Z,add milestone to issue,DanielRosenwasser,TypeScript 5.7.0
59704,2024-09-25T17:21:05Z,commit changes,sandersn,36f1d00e600b51b4f8b48a725826581fcc43add6
59704,2024-09-25T17:26:14+00:00,create PR,sandersn,60061
59704,2024-09-25T17:26:15Z,link PR to issue,sandersn,60061
59704,2024-09-25T17:26:17Z,assign user to PR,sandersn,sandersn
59704,2024-09-25T17:26:18Z,add label to PR,typescript-bot,Author: Team
59704,2024-09-25T17:26:19Z,add label to PR,typescript-bot,For Milestone Bug
59704,2024-09-25T17:26:20Z,add label to issue,typescript-bot,Fix Available
59704,2024-09-25T17:26:32Z,request review for PR,sandersn,DanielRosenwasser
59704,2024-09-26T21:46:32Z,auto squash enabled,sandersn,
59704,2024-09-27T22:32:18Z,review PR,jakebailey,60061
59704,2024-09-27T22:32:19Z,merge PR,sandersn,
59704,2024-09-27T22:32:20Z,close PR,sandersn,
59704,2024-09-27T22:32:21Z,close issue,sandersn,
59116,2024-06-28T10:03:39+00:00,create issue,hediet,Codefix add missing function declaration inserts function in wrong file
59116,2024-06-28T10:03:39Z,assign user to issue,mjbvz,mjbvz
59116,2024-07-02T18:42:37Z,transferred,mjbvz,
59116,2024-07-02T18:42:41Z,unassign user from issue,mjbvz,mjbvz
59116,2024-07-05T17:28:45Z,rename issue,andrewbranch,Codefix add missing function declaration inserts function in wrong file
59116,2024-07-05T17:41:42Z,add label to issue,andrewbranch,Bug
59116,2024-07-05T17:42:00Z,add label to issue,andrewbranch,Help Wanted
59116,2024-07-05T17:42:00Z,add label to issue,andrewbranch,Domain: Quick Fixes
59116,2024-07-05T17:42:31Z,add label to issue,andrewbranch,Effort: Casual
59116,2024-07-05T17:42:54Z,add milestone to issue,andrewbranch,Backlog
59116,2024-07-09T22:42:47Z,commit changes,a-tarasyuk,8d50d214af14d7da1f5660b25e4213713cd24d6a
59116,2024-07-09T22:43:32+00:00,create PR,a-tarasyuk,59213
59116,2024-07-09T22:43:33Z,link PR to issue,a-tarasyuk,59213
59116,2024-07-09T22:43:36Z,add label to PR,typescript-bot,For Backlog Bug
59116,2024-07-25T02:43:35Z,review PR,jakebailey,59213
59116,2024-07-25T02:45:52Z,merge PR,jakebailey,
59116,2024-07-25T02:45:52Z,close PR,jakebailey,
59116,2024-07-25T02:45:54Z,close issue,jakebailey,
59843,2024-09-03T21:21:12+00:00,create issue,jkrems,Module resolution: Imported files are missing from emit when imported via `package.json#imports`
59843,2024-09-05T17:19:43Z,add label to issue,RyanCavanaugh,Needs Investigation
59843,2024-09-05T17:19:46Z,assign user to issue,andrewbranch,andrewbranch
59843,2024-09-05T17:19:51Z,add milestone to issue,RyanCavanaugh,TypeScript 5.7.0
59843,2024-10-14T23:24:48Z,commit changes,andrewbranch,cc703518efdb658ace1c65d836d1bccd1f69d73b
59843,2024-10-14T23:43:00Z,remove label from issue,andrewbranch,Needs Investigation
59843,2024-10-14T23:43:00Z,add label to issue,andrewbranch,Bug
59843,2024-10-14T23:43:16Z,remove milestone from issue,andrewbranch,TypeScript 5.7.0
59843,2024-10-14T23:43:17Z,add milestone to issue,andrewbranch,TypeScript 5.7.1
59843,2024-10-14T23:55:57Z,commit changes,andrewbranch,4b9afad9508d0df22eab1a77197c7044bd178b97
59843,2024-10-15T00:02:16+00:00,create PR,andrewbranch,60228
59843,2024-10-15T00:02:17Z,link PR to issue,andrewbranch,60228
59843,2024-10-15T00:02:19Z,assign user to PR,andrewbranch,andrewbranch
59843,2024-10-15T00:02:20Z,add label to PR,typescript-bot,Author: Team
59843,2024-10-15T00:02:21Z,add label to PR,typescript-bot,For Milestone Bug
59843,2024-10-15T00:02:22Z,add label to issue,typescript-bot,Fix Available
59843,2024-10-15T00:02:36Z,request review for PR,andrewbranch,jakebailey
59843,2024-10-15T17:38:26Z,review PR,jakebailey,60228
59843,2024-10-15T17:53:32Z,merge PR,andrewbranch,
59843,2024-10-15T17:53:32Z,close PR,andrewbranch,
59843,2024-10-15T17:53:33Z,close issue,andrewbranch,
59843,2024-10-15T17:53:48Z,delete PR branch,andrewbranch,60228
58752,2024-06-03T16:41:18Z,commit changes,dragomirtitian,61213562fa3aecb1d1edc2b63e6c572fd6d63e20
58752,2024-06-03T16:59:50+00:00,create issue,dragomirtitian,[ts-5.5]Some types are excessively expanded in keyof and index access types
58752,2024-06-03T17:00:08Z,rename issue,dragomirtitian,[ts-5.5]Some types are excessively expanded in keyof and index access types
58752,2024-06-03T18:30:52+00:00,create PR,dragomirtitian,58758
58752,2024-06-03T18:30:52Z,link PR to issue,dragomirtitian,58758
58752,2024-06-03T18:30:55Z,add label to PR,typescript-bot,For Uncommitted Bug
58752,2024-06-03T20:30:04Z,add label to issue,DanielRosenwasser,Bug
58752,2024-06-03T20:30:04Z,add label to issue,DanielRosenwasser,Domain: Declaration Emit
58752,2024-06-03T20:30:04Z,add label to issue,DanielRosenwasser,Domain: Isolated Declarations
58752,2024-06-03T20:30:12Z,add milestone to issue,DanielRosenwasser,TypeScript 5.5.2
58752,2024-06-03T22:24:52Z,commit changes,dragomirtitian,a73a14579a714f5c01a52df6ddd5a327e962ccc0
58752,2024-06-03T22:24:57Z,remove label from PR,typescript-bot,For Uncommitted Bug
58752,2024-06-03T22:24:58Z,add label to issue,typescript-bot,Fix Available
58752,2024-06-03T22:24:58Z,add label to PR,typescript-bot,For Milestone Bug
58752,2024-06-03T23:16:04Z,review PR,DanielRosenwasser,58758
58752,2024-06-03T23:21:48Z,merge PR,DanielRosenwasser,
58752,2024-06-03T23:21:48Z,close PR,DanielRosenwasser,
58752,2024-06-03T23:21:49Z,close issue,DanielRosenwasser,
59470,2024-07-30T11:06:13+00:00,create issue,d-eder,Namespace missing in generated .d.ts 
59470,2024-07-30T11:12:06Z,rename issue,d-eder,Namespace missing in .d.ts 
59470,2024-07-30T11:12:18Z,rename issue,d-eder,Namespace missing in generated .d.ts 
59470,2024-07-31T16:35:41Z,add label to issue,RyanCavanaugh,Bug
59470,2024-07-31T16:35:43Z,assign user to issue,weswigham,weswigham
59470,2024-07-31T16:35:47Z,add milestone to issue,RyanCavanaugh,TypeScript 5.7.0
59470,2024-07-31T22:21:27Z,commit changes,weswigham,0f15bd5cbcf4f6563039f291ca06983c443dbe11
59470,2024-07-31T22:32:31Z,commit changes,weswigham,bbc39410f83353eb9aaef36f28553f640c84c4f7
59470,2024-07-31T22:35:52+00:00,create PR,weswigham,59493
59470,2024-07-31T22:35:52Z,request review for PR,weswigham,sandersn
59470,2024-07-31T22:35:52Z,request review for PR,weswigham,jakebailey
59470,2024-07-31T22:35:53Z,link PR to issue,weswigham,59493
59470,2024-07-31T22:35:54Z,assign user to PR,weswigham,weswigham
59470,2024-07-31T22:35:55Z,add label to PR,typescript-bot,Author: Team
59470,2024-07-31T22:35:57Z,add label to issue,typescript-bot,Fix Available
59470,2024-07-31T22:35:57Z,add label to issue,typescript-bot,Fix Available
59470,2024-07-31T22:35:57Z,add label to PR,typescript-bot,For Milestone Bug
59470,2024-07-31T22:35:57Z,add label to PR,typescript-bot,For Milestone Bug
59470,2024-07-31T22:36:14Z,rename PR,weswigham,Use local symbol rather then target symbol for tracking reused references
59470,2024-07-31T22:38:31Z,review PR,jakebailey,59493
59470,2024-07-31T22:46:46Z,request review for PR,weswigham,DanielRosenwasser
59470,2024-07-31T22:52:05Z,merge PR,weswigham,
59470,2024-07-31T22:52:05Z,close PR,weswigham,
59470,2024-07-31T22:52:06Z,close issue,weswigham,
59470,2024-07-31T22:52:09Z,delete PR branch,weswigham,59493
58801,2024-06-07T17:14:03+00:00,create issue,DanielRosenwasser,"""Move to file"" on global code unnecessarily imports/exports, generates invalid code"
58801,2024-06-07T17:14:03Z,add label to issue,DanielRosenwasser,Bug
58801,2024-06-07T17:14:03Z,add label to issue,DanielRosenwasser,Domain: Refactorings
58801,2024-06-08T00:39:32Z,add label to issue,DanielRosenwasser,Help Wanted
58801,2024-06-08T00:39:32Z,add label to issue,DanielRosenwasser,Effort: Moderate
58801,2024-06-09T20:32:48Z,commit changes,a-tarasyuk,5726e7260bdd600fe92e6aa8694a5255dfc38d43
58801,2024-06-09T20:34:03+00:00,create PR,a-tarasyuk,58811
58801,2024-06-09T20:34:03Z,link PR to issue,a-tarasyuk,58811
58801,2024-06-09T20:34:06Z,add label to PR,typescript-bot,For Uncommitted Bug
58801,2024-06-10T23:57:35Z,request review for PR,DanielRosenwasser,andrewbranch
58801,2024-06-10T23:57:35Z,request review for PR,DanielRosenwasser,gabritto
58801,2024-06-10T23:57:36Z,request review for PR,DanielRosenwasser,navya9singh
58801,2024-06-11T16:45:39Z,review PR,andrewbranch,58811
58801,2024-06-12T18:01:06Z,assign user to PR,andrewbranch,andrewbranch
58801,2024-06-12T20:32:55Z,assign user to PR,navya9singh,navya9singh
58801,2024-06-12T20:32:55Z,unassign user from PR,andrewbranch,andrewbranch
58801,2024-06-18T23:31:53Z,add milestone to issue,DanielRosenwasser,TypeScript 5.5.2
58801,2024-06-19T00:23:59Z,review PR,DanielRosenwasser,58811
58801,2024-06-19T00:24:22Z,merge PR,DanielRosenwasser,
58801,2024-06-19T00:24:23Z,close PR,DanielRosenwasser,
58801,2024-06-19T00:24:24Z,close issue,DanielRosenwasser,
59262,2024-07-13T16:13:30+00:00,create issue,PhoebeSzmucer,Incorrect ES5 code emitted for closures in loops when noCheck is enabled
59262,2024-07-15T04:53:40Z,commit changes,jakebailey,54003a5812d66edb8decd8b6334dc97581ca33ef
59262,2024-07-15T20:26:48Z,commit changes,jakebailey,033a906e0c55172fbf38044c2a5818895b9123fa
59262,2024-07-15T20:27:18Z,commit changes,jakebailey,7e1e976c807b8f87f3770a07ffb431d0b6f322d0
59262,2024-07-15T20:30:34+00:00,create PR,jakebailey,59285
59262,2024-07-15T20:30:34Z,link PR to issue,jakebailey,59285
59262,2024-07-15T20:30:34Z,request review for PR,jakebailey,weswigham
59262,2024-07-15T20:30:36Z,assign user to PR,jakebailey,jakebailey
59262,2024-07-15T20:30:37Z,add label to PR,typescript-bot,Author: Team
59262,2024-07-15T20:30:38Z,add label to PR,typescript-bot,For Uncommitted Bug
59262,2024-07-15T20:47:10Z,review PR,weswigham,59285
59262,2024-07-15T20:50:16Z,request review for PR,jakebailey,rbuckton
59262,2024-07-15T23:43:28Z,add label to issue,DanielRosenwasser,Bug
59262,2024-07-15T23:43:54Z,add milestone to issue,DanielRosenwasser,TypeScript 5.5.4
59262,2024-07-16T18:29:49Z,milestoned,jakebailey,
59262,2024-07-16T18:29:52Z,remove label from PR,typescript-bot,For Uncommitted Bug
59262,2024-07-16T18:29:53Z,add label to issue,typescript-bot,Fix Available
59262,2024-07-16T18:29:53Z,add label to PR,typescript-bot,For Milestone Bug
59262,2024-07-16T18:53:27Z,commit changes,jakebailey,f820ca52fb0c179c77fcdd4682a3edab54608bed
59262,2024-07-16T19:09:02Z,commit changes,jakebailey,6c910bfe073703a0c6abbaa90e8012b1cee4a251
59262,2024-07-16T19:10:03Z,commit changes,jakebailey,66113d3b71c707f8390f6aac82ea2afea176830a
59262,2024-07-16T19:11:46Z,review PR,rbuckton,59285
59262,2024-07-16T20:30:52Z,close issue,jakebailey,
60186,2024-10-10T11:37:42+00:00,create issue,golopot,"Quick fix ""add missing properties"" fails with enums from other module"
60186,2024-10-10T16:55:52Z,commit changes,a-tarasyuk,459fa9cb3834a98e5b2f98d44690c0cb9cb141b1
60186,2024-10-10T16:56:19+00:00,create PR,a-tarasyuk,60191
60186,2024-10-10T16:56:20Z,link PR to issue,a-tarasyuk,60191
60186,2024-10-10T16:56:23Z,add label to PR,typescript-bot,For Uncommitted Bug
60186,2024-10-14T18:30:25Z,review PR,DanielRosenwasser,60191
60186,2024-10-14T18:30:34Z,merge PR,DanielRosenwasser,
60186,2024-10-14T18:30:35Z,close issue,DanielRosenwasser,
60186,2024-10-14T18:30:35Z,close PR,DanielRosenwasser,
60186,2024-10-14T18:30:52Z,add milestone to issue,DanielRosenwasser,TypeScript 5.6.1
60186,2024-10-14T18:30:59Z,remove milestone from issue,DanielRosenwasser,TypeScript 5.6.1
60186,2024-10-14T18:30:59Z,add milestone to issue,DanielRosenwasser,TypeScript 5.7.1
60186,2024-10-14T18:31:12Z,add label to issue,DanielRosenwasser,Bug
60186,2024-10-14T18:31:12Z,add label to issue,DanielRosenwasser,Fixed
60186,2024-10-14T18:31:12Z,add label to issue,DanielRosenwasser,Domain: Quick Fixes
59263,2024-07-13T22:06:36Z,commit changes,jsonnull,9ab4d22601d2261a6c418393b3b49b6a3a7d2575
59263,2024-07-13T23:08:18+00:00,create issue,jsonnull,Iterator and AsyncIterator missing Symbol.dispose method in esnext.disposable
59263,2024-07-13T23:09:13+00:00,create PR,jsonnull,59264
59263,2024-07-13T23:09:14Z,link PR to issue,jsonnull,59264
59263,2024-07-13T23:09:17Z,add label to PR,typescript-bot,For Uncommitted Bug
59263,2024-07-13T23:11:36Z,rename issue,jsonnull,Iterator and AsyncIterator missing Symbol.dispose method in esnext.disposable
59263,2024-07-15T12:53:54Z,convert to draft,jsonnull,
59263,2024-07-26T22:10:10Z,assign user to issue,rbuckton,rbuckton
